date,planned_cost_yuan,emergency_cost_yuan,emergency_energy_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,soc_link_residual_kwh
2025-02-01,31684.879942087613,148.04620833333385,26.29666666666685,8550.0,8550.0,1200.000000000001,10800.0,0.0
2025-02-02,64873.34509769833,62.94049583333329,28.89166666666665,8550.0,8550.0,1199.999999999999,10800.0,0.0
2025-02-03,62068.45365841582,24.822578258334055,6.969083333333515,8550.0,8550.0,1199.999999999999,10800.0,0.0
2025-02-04,63441.61952280057,213.14816645833326,99.87078333333329,8550.0,8550.0,1199.9999999999964,10800.0,0.0
2025-02-05,58960.101935635736,593.8907615416649,123.82583333333307,8550.0,8550.0,1199.9999999999973,10800.0,0.0
2025-02-06,60945.04339789833,371.1845408749999,118.22384999999986,8550.0,8550.0,1200.0,10800.000000000002,0.0
2025-02-07,27291.64992150166,235.7596608666663,38.872116666666614,8550.0,8550.0,1200.000000000001,10800.000000000004,0.0
2025-02-08,25625.015674349444,321.33324140000445,70.35858333333385,8550.0,8550.0,1200.0000000000018,10800.000000000005,0.0
2025-02-09,56930.43625004332,1498.5691924749976,553.8205833333325,8550.0,8550.0,1199.9999999999955,10800.0,0.0
2025-02-10,58141.711880986666,420.3086874416682,138.2430000000004,8550.0,8550.0,1200.0,10800.0,0.0
2025-02-11,58577.480962522706,479.4298156583353,90.44615000000044,8550.0,8550.0,1199.9999999999973,10800.0,0.0
2025-02-12,58119.3181768387,185.76426924166796,53.74093333333349,8550.0,8550.0,1199.9999999999964,10800.0,0.0
2025-02-13,57553.25800321333,602.3408991666632,145.4728333333327,8550.0,8550.0,1200.0,10800.0,0.0
2025-02-14,24540.31466774333,907.9169478250005,317.54825000000034,8550.0,8550.0,1199.9999999999964,10800.0,0.0
2025-02-15,23163.85572517666,1111.4098126666654,391.9598666666662,8550.0,8550.0,1199.9999999999964,10800.0,0.0
2025-02-16,56463.19632922832,689.6830838750004,215.61036666666712,8550.0,8550.0,1199.9999999999982,10800.0,0.0
2025-02-17,52798.06310753631,484.767537275002,112.49690000000044,8550.0,8550.0,1200.0,10800.0,0.0
2025-02-18,53426.78780286093,452.41598185833357,141.54368333333343,8550.0,8550.0,1200.0,10800.000000000002,0.0
2025-02-19,53648.91516499406,721.1310303499993,296.92053333333297,8550.0,8550.0,1199.9999999999964,10800.0,0.0
2025-02-20,50407.5016020664,2525.0678413083306,717.1460166666659,8550.0,8550.0,1199.9999999999982,10800.0,0.0
2025-02-21,22681.204268262773,502.56540279166643,148.80273333333326,8550.0,8550.0,1199.9999999999964,10800.0,0.0
2025-02-22,21930.370961075183,928.5141946166675,247.5434500000003,8550.0,8550.0,1200.0,10800.000000000002,0.0
2025-02-23,52602.61704190831,1103.0377032499996,367.3188999999994,8550.0,8550.0,1200.0000000000018,10800.000000000002,0.0
2025-02-24,50029.5251751624,628.0645526250004,157.8285333333332,8550.0,8550.0,1199.9999999999982,10800.0,0.0
2025-02-25,50523.45570746499,612.9373068583343,182.0247166666669,8550.0,8550.0,1199.9999999999973,10800.0,0.0
2025-02-26,51114.85793276691,451.37923005833215,130.68621666666638,8550.0,8550.0,1199.9999999999982,10800.0,0.0
2025-02-27,49779.1452044958,1322.1191402749978,309.94394999999963,8550.0,8550.0,1199.9999999999973,10800.0,0.0
2025-02-28,20896.600536830003,468.8647558916657,124.36488333333313,8550.0,8550.0,1200.0000000000036,10800.000000000004,0.0
2025-03-01,21387.203353839875,1133.2369761666655,310.6029999999997,8550.0,8550.0,1200.0000000000027,10800.000000000002,0.0
2025-03-02,50068.2066066524,9725.42694674166,2256.2055666666647,8550.0,8550.0,1199.999999999999,10800.0,0.0
2025-03-03,47977.19578487819,10891.603991175005,2661.570916666668,8550.0,8550.0,1200.0000000000018,10800.000000000004,0.0
2025-03-04,46389.14123585292,8479.685050683333,2587.2676833333335,8550.0,8550.0,1199.9999999999982,10800.0,0.0
2025-03-05,48757.04037782046,1165.658130083332,280.6469999999995,8550.0,8550.0,1200.000000000001,10800.000000000002,0.0
2025-03-06,47817.59607981834,2020.0604865500043,783.258883333335,8550.0,8550.0,1199.999999999999,10800.000000000002,0.0
2025-03-07,20502.426854311663,477.90923031666574,156.370183333333,8550.0,8550.0,1200.0000000000027,10800.000000000002,0.0
2025-03-08,20216.356638725,577.1788389833334,177.55818333333343,8550.0,8550.0,1200.0000000000018,10800.000000000004,0.0
2025-03-09,50502.504031425924,596.008435983334,186.71440000000018,8550.0,8550.0,1200.0000000000036,10800.000000000002,0.0
2025-03-10,50595.81781161621,1974.5953066833324,726.00715,8550.0,8550.0,1199.9999999999982,10800.0,0.0
2025-03-11,48183.09314155003,1123.235695825,338.11971666666716,8550.0,8550.0,1200.0,10800.0,0.0
2025-03-12,46176.12744331833,1485.0233259083332,438.5458833333329,8550.0,8550.0,1199.999999999999,10800.0,0.0
2025-03-13,44506.79863532724,7603.968727666667,1949.9411666666674,8550.0,5598.982111111111,1200.000000000001,10800.000000000002,0.0
2025-03-14,17217.57030598475,628.7359114666658,211.5598999999997,5598.982111111111,5570.441777777777,1199.999999999999,10800.0,0.0
2025-03-15,18623.438178881664,1670.30952892499,477.04733333333127,5570.441777777777,8550.0,1199.9999999999936,10799.999999999995,0.0
2025-03-16,44501.767117696145,3650.093846041672,1140.6979666666682,8550.0,8550.0,1200.0,10800.0,0.0
2025-03-17,46996.50077292999,644.7025770500024,148.23723333333362,8550.0,8550.0,1199.9999999999927,10800.0,0.0
2025-03-18,44540.417640541666,2858.9956337583344,680.2089333333339,8550.0,8550.0,1200.000000000001,10800.000000000005,0.0
2025-03-19,43735.86240631268,1927.301368799996,406.28541666666575,8550.0,8550.0,1199.999999999999,10800.000000000004,0.0
2025-03-20,45433.64681417606,1307.295288266664,336.8220333333328,8550.0,5101.770185185185,1200.000000000001,10800.000000000002,0.0
2025-03-21,16822.333957633004,864.3233882000031,316.71063333333376,5101.770185185185,5226.297981481483,1200.000000000001,10800.000000000004,0.0
2025-03-22,18651.997534756665,395.37162620833135,148.77658333333267,5226.297981481483,8550.0,1200.0000000000005,10800.000000000002,0.0
2025-03-23,43961.034755179266,2783.1516972166664,708.7117166666668,8550.0,8550.0,1200.0000000000036,10800.0,0.0
2025-03-24,40673.21301588965,5125.062368783334,1203.874116666667,8550.0,8550.0,1200.0000000000018,10800.0,0.0
2025-03-25,42664.16567446148,2584.0563232333343,764.060866666667,8550.0,8550.0,1200.000000000001,10800.0,0.0
2025-03-26,41800.72548887876,501.5844568250017,175.32943333333316,8550.0,8550.0,1199.999999999999,10800.000000000002,0.0
2025-03-27,41483.77188160965,727.5730277666687,309.56850000000054,8550.0,4751.740296296296,1200.0000000000018,10800.0,0.0
2025-03-28,16178.581598388477,1033.3120999333319,291.28593333333293,4751.740296296296,4630.437314814815,1199.9999999999995,10800.000000000004,0.0
2025-03-29,17853.29171717712,492.90411059166667,141.3884666666666,4630.437314814815,8550.0,1200.0,10800.000000000002,0.0
2025-03-30,40892.98928778166,3833.317087533331,839.0223666666661,8550.0,8550.0,1199.9999999999955,10800.0,0.0
2025-03-31,40733.46097759073,2838.81240669167,785.445700000001,8550.0,8550.0,1199.9999999999964,10800.0,0.0
2025-04-01,39123.32366638122,8500.40455777583,2869.2996751006367,8550.0,8550.0,1200.000000000001,10800.0,0.0
2025-04-02,36565.309690720314,19882.452303207785,5400.828232326905,8550.0,8550.0,1200.0000000000027,10800.000000000002,0.0
2025-04-03,37055.66683428439,3132.9466922262395,848.1773492128472,8550.0,4221.338908497835,1200.0000000000036,10800.000000000004,0.0
2025-04-04,15366.713647506494,779.3100285484707,283.1592503972297,4221.338908497835,3966.0905891836637,1200.0000000000018,10800.000000000004,0.0
2025-04-05,18559.79518194336,136.69261988988885,43.068800902942485,3966.0905891836637,8550.0,1199.999999999999,10799.999999999998,0.0
2025-04-06,37950.63178219379,3676.1762232761976,977.9786028021374,8550.0,8550.0,1200.0,10800.0,0.0
2025-04-07,38529.273339282656,1954.3791605831725,597.3116829545758,8550.0,8550.0,1200.0,10800.0,0.0
2025-04-08,38926.131292157486,7946.1926444553455,1687.8043320990496,8550.0,8550.0,1199.9999999999982,10800.0,0.0
