date,planned_cost_yuan,emergency_cost_yuan,emergency_energy_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,soc_link_residual_kwh
2025-02-28,1318218.7256515645,18067.413039074996,5356.771083333332,239400.0,239400.0,33599.99999999996,302400.0,0.0
2025-03-31,1165844.277121006,81120.49389005832,21937.842866666666,244629.66966666665,244629.66966666665,37199.99999999999,334800.00000000006,0.0
2025-04-30,941001.5305992248,123654.29072754065,33504.23736088008,217068.3726227667,217068.3726227667,36000.000000000015,324000.0,0.0
2025-05-31,952796.0325602145,175790.18364326702,44886.42484053199,205112.15440906005,205112.15440906005,37200.00000000004,334800.00000000006,0.0
2025-06-30,1236876.6657332564,395907.5271373433,100768.84959886094,227186.74918943143,227186.74918943143,36000.000000000015,324000.00000000006,0.0
2025-07-31,1445997.5740302166,263117.7870911408,73836.09961181923,227672.61843528875,222629.09344270642,37200.000000000015,334800.00000000006,0.0
2025-08-31,1321591.0349461704,103075.23145333995,27310.652240734238,213030.1469268561,218073.67191943846,37199.999999999985,334800.00000000006,0.0
2025-09-30,1164785.1491357945,101683.18935056953,26199.05278477057,223711.49063784047,223711.49063784047,35999.99999999999,324000.00000000006,0.0
2025-10-31,1166459.8667760536,76120.8273209691,20877.474472660735,242328.9508950309,240426.0996176686,37199.999999999985,334800.00000000006,0.0
2025-11-30,1304054.2834868433,66485.29043936654,20019.10766258038,251237.59320667756,253140.44448403985,35999.99999999999,324000.0,0.0
2025-12-31,1732789.4971579977,102586.01665196358,29562.22152943236,265050.0,265050.0,37199.99999999999,334800.0,0.0
